Timestamp,Please upload an image of the art. Aspect ratios of 4:3 are preferred (and high-res) but any art is great! If you're getting this art from instagram we recommend https://ingramer.com/tools/instagram-photo-downloader/,What is the name of the artist?,Link where we can find this work online,Anything else you'd like us to know?,I certify that this work is by a Black artist.,What is the name of this piece? (Untitled if there is no name),The artist's online portfolio or Instagram handle - if possible (i.e. https://www.instagram.com/kerryjamesmarshs/)
6/13/2020 10:36:21,https://drive.google.com/open?id=12sSQGesioDCfh6OVWrdY3E66zkKZ6RbT,Louis Delsarte,https://www.nytimes.com/2020/05/15/arts/louis-delsarte-a-muralist-of-the-black-experience-dies-at-75.html,,Yes,Transitions,
6/13/2020 10:41:20,https://drive.google.com/open?id=1NtVSYO_VshNlc8boZubUEyBBok9wkiKk,Kerry James Marshall,https://www.nytimes.com/slideshow/2016/10/17/t-magazine/kerry-james-marshalls-paintings/,,Yes,Vignette,https://www.instagram.com/kerryjamesmarshs
6/13/2020 13:23:29,https://drive.google.com/open?id=1cc481SjS2-ZQq-xu2zttpKlaPHxKNIue,Carrie Mae Weems,https://www.culturetype.com/2019/06/07/photograph-from-kitchen-table-series-by-carrie-mae-weems-sets-new-artist-record-at-phillips-auction/,,Yes,Untitled (man smoking) from Kitchen Table Series,https://www.instagram.com/carriemaeweems
6/13/2020 13:26:21,https://drive.google.com/open?id=199eohrV7JHkm8UfLkl5XndIz3LRHGCry,Carrie Mae Weems,https://www.nytimes.com/2018/10/15/t-magazine/carrie-mae-weems-interview.html,,Yes,"left to right: ""Untitled (Woman and Daughter With Children),” “Untitled (Man Reading Newspaper)” and “Untitled (Woman and Daughter With Make Up)”",https://www.instagram.com/carriemaeweems
6/13/2020 13:31:38,https://drive.google.com/open?id=12HNdlsx9yOd-TLEH1Jg4QasaJVo8EGEC,Loretta Bennett,http://paulsonfontainepress.com/artist/gees-bend-loretta-bennett/,,Yes,Forever (for Old Lady Sally),https://www.soulsgrowndeep.org/gees-bend-quiltmakers
6/13/2020 13:48:01,https://drive.google.com/open?id=14ZR1jK5W9bFzIe5YCOysB_JFN-hzDuup,Clay Banks,https://unsplash.com/photos/MpVXotwNMXU,,Yes,Untitled,https://www.instagram.com/clay.banks/
6/13/2020 14:14:27,https://drive.google.com/open?id=11uvFO3VH0vX15NH4fQB_I5PrffXU1Rpa,Carrie Mae Weems,https://www.nytimes.com/2018/10/15/t-magazine/carrie-mae-weems-interview.html,,Yes,Alice on the Bed,https://www.instagram.com/carriemaeweems
6/13/2020 14:41:05,https://drive.google.com/open?id=1TOW2nBI0VXn-22g6ceb5ltrJqf0tJS3_,Betye Saar,https://www.moma.org/collection/works/284186?sov_referrer=artist&artist_id=5102&page=1,,Yes,In the Sunflower Patch,www.betyesaar.net
6/13/2020 14:48:45,https://drive.google.com/open?id=1SZwbrrdP9WVuG0cY2Icud9vnKbfPaA_a,Tyler Mitchell,https://www.npr.org/sections/pictureshow/2018/08/29/639322438/tyler-mitchell-on-being-the-first-african-american-to-photograph-a-vogue-cover,,Yes,Vogue (September 2018),https://www.instagram.com/tylersphotos
6/13/2020 14:51:37,https://drive.google.com/open?id=1FwprTVb4_WnOj2yibNnR1NVQvuD4k_0P,Jacob Lawrence,https://www.moma.org/collection/works/78548,,Yes,In the North the Negro had better educational facilities,
6/13/2020 14:53:12,https://drive.google.com/open?id=1PejDdjdDB64mSG5JtmVC5sPLJcC4VF9j,Devin Allen,https://www.instagram.com/p/CBWi7QAjjCW/,,Yes,Untitled,https://www.instagram.com/bydvnlln/
6/13/2020 14:56:07,https://drive.google.com/open?id=13CGriq2NurYDvuUP_Ik1GPWPSzfyFQCy,Greg Noire,https://www.instagram.com/p/CBPXva1hjmW/,,Yes,Untitled,https://www.instagram.com/gregnoire/
6/13/2020 14:59:12,https://drive.google.com/open?id=1kmrw-4oJ3D7howjUaR_dRp8LXUjuW4V0,Jean-Michel Basquiat,https://www.christies.com/lotfinder/Paintings/jean-michel-basquiat-untitled-5698842-details.aspx?lid=1&from=relatedlot&intobjectid=5698842,,Yes,Untitled,
6/13/2020 15:21:02,https://drive.google.com/open?id=1a_pAExwU6kArWk4AO4P4Szp-5L2DwC5_,Faith Ringgold,https://www.artsy.net/artwork/faith-ringgold-groovin-high-1,,Yes,Groovin High,https://www.faithringgold.com/
6/13/2020 15:32:36,https://drive.google.com/open?id=17Ly5a5nRFYlWc3Y2k-Qx9Ghv1FTveKCg,Faith Ringgold,https://www.artsy.net/artwork/faith-ringgold-the-sunflowers-quilting-bee-at-arles-3?utm_medium=p-search&utm_source=adwords&utm_campaign=b2c-bnmo-product-US-smart-shopping&gclid=EAIaIQobChMIr92w1MP_6QIVDU2GCh2Y-AQmEAQYASABEgLsSfD_BwE,,Yes,The Sunflower Quilting Bee at Arles,https://www.faithringgold.com/
6/13/2020 16:09:01,https://drive.google.com/open?id=1G1sZpB8nZYJr7B_kyf0VZ33MDkBRO9OK,Darius Quarles ,http://virginiahenrys.com/,Thanks for doing this work! ,Yes,Springfield Ave ,https://www.instagram.com/bpicasso208/
6/13/2020 18:13:30,https://drive.google.com/open?id=1RPVkE78FJDQPheY-pRMFr0fB8RwaJWWY,Betye Saar,https://www.moma.org/collection/works/284186?sov_referrer=artist&artist_id=5102&page=1,,Yes,In the Sunflower Patch,https://www.moma.org/artists/5102
6/14/2020 12:43:14,https://drive.google.com/open?id=1Zq9jkvYJVvhOR21AGe3r7bUoCkOsLFR_,Kehinde Wiley,https://www.okcmoa.com/okcmoa-acquires-portrait-kehinde-wiley-still-life-jan-van-kessel-elder/,,Yes,Jacob de Graeff,https://www.instagram.com/kehindewiley/
6/14/2020 12:53:23,https://drive.google.com/open?id=1QPqizPkycKyoQFRlDZDcyV5VjGTsw0s0,Gordon Parks,http://www.gordonparksfoundation.org/gordon-parks/photography-archive/muhammad-ali-1966-1970?view=slider#6,,Yes,Untitled,http://www.gordonparksfoundation.org/
6/14/2020 12:55:15,https://drive.google.com/open?id=1tKH8CWnJOyU-1RpaZqu2Xj16jq7aJYRa,Gordon Parks,http://www.gordonparksfoundation.org/gordon-parks/photography-archive/muhammad-ali-1966-1970?view=slider,,Yes,Trainer Works on Muhummad Ali's Shoulder,http://www.gordonparksfoundation.org/
6/14/2020 13:06:49,https://drive.google.com/open?id=1lFHEGAEDshZ4CL1R72w_tDDGdnC7lUKr,Alvin Baltrop,https://www.interviewmagazine.com/art/alvin-baltrop-bronx-museum,,Yes,The Piers (exterior with 2 figures),
6/14/2020 13:07:22,https://drive.google.com/open?id=1Cxexx7RHBp9LBcJ5lRHLRvZN_6H8xhIP,Alvin Baltrop,https://www.interviewmagazine.com/art/alvin-baltrop-bronx-museum,,Yes,The Piers (sunbathing platform with Tava mural),
6/14/2020 13:08:21,https://drive.google.com/open?id=16frt8PW1jckKOhJ8iAnYnYAttg4NE74U,Alvin Baltrop,https://www.interviewmagazine.com/art/alvin-baltrop-bronx-museum,,Yes,"Pier 52 (Gordon Matta-Clark's ""Day's End"")",
6/14/2020 13:09:02,https://drive.google.com/open?id=1nBWfZXjhpmdysrn3xzN3NEYX964ssRpy,Alvin Baltrop,https://www.interviewmagazine.com/art/alvin-baltrop-bronx-museum,,Yes,Marsha P. Johnson,
6/14/2020 13:13:06,https://drive.google.com/open?id=1BIB0PRuVxpdIpkgl6SVzreD5JBH1PJ6k,Lorna Simpson,https://lsimpsonstudio.com/paintings/special-character-series-2019,,Yes,Flame Thrower,https://lsimpsonstudio.com/
